Series_Title,Released_Year,Grade,No_of_Votes
The Shawshank Redemption,1994,,
The Godfather,1972,,
The Dark Knight,2008,,
The Godfather: Part II,1974,,
12 Angry Men,1957,,
The Lord of the Rings: The Return of the King,2003,,
Pulp Fiction,1994,,
Schindler's List,1993,,
Inception,2010,,
Fight Club,1999,,
The Lord of the Rings: The Fellowship of the Ring,2001,,
Forrest Gump,1994,,
"Il buono, il brutto, il cattivo",1966,,
The Lord of the Rings: The Two Towers,2002,,
The Matrix,1999,,
Goodfellas,1990,,
Star Wars: Episode V - The Empire Strikes Back,1980,,
One Flew Over the Cuckoo's Nest,1975,,
Hamilton,2020,,
Gisaengchung,2019,,
Soorarai Pottru,2020,,
Interstellar,2014,,
Cidade de Deus,2002,,
Sen to Chihiro no kamikakushi,2001,,
Saving Private Ryan,1998,,
The Green Mile,1999,,
La vita è bella,1997,,
Se7en,1995,,
The Silence of the Lambs,1991,,
Star Wars,1977,,
Seppuku,1962,,
Shichinin no samurai,1954,,
It's a Wonderful Life,1946,,
Joker,2019,,
Whiplash,2014,,
The Intouchables,2011,,
The Prestige,2006,,
The Departed,2006,,
The Pianist,2002,,
Gladiator,2000,,
American History X,1998,,
The Usual Suspects,1995,,
Léon,1994,,
The Lion King,1994,,
Terminator 2: Judgment Day,1991,,
Nuovo Cinema Paradiso,1988,,
Hotaru no haka,1988,,
Back to the Future,1985,,
Once Upon a Time in the West,1968,,
Psycho,1960,,
Casablanca,1942,,
Modern Times,1936,,
City Lights,1931,,
Capharnaüm,2018,,
Ayla: The Daughter of War,2017,,
Vikram Vedha,2017,,
Kimi no na wa.,2016,,
Dangal,2016,,
Spider-Man: Into the Spider-Verse,2018,,
Avengers: Endgame,2019,,
Avengers: Infinity War,2018,,
Coco,2017,,
Django Unchained,2012,,
The Dark Knight Rises,2012,,
3 Idiots,2009,,
Taare Zameen Par,2007,,
WALL·E,2008,,
The Lives of Others,2006,,
Oldeuboi,2003,,
Memento,2000,,
Mononoke-hime,1997,,
Once Upon a Time in America,1984,,
Raiders of the Lost Ark,1981,,
The Shining,1980,,
Apocalypse Now,1979,,
Alien,1979,,
Anand,1971,,
Tengoku to jigoku,1963,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,
Witness for the Prosecution,1957,,
Paths of Glory,1957,,
Rear Window,1954,,
Sunset Blvd.,1950,,
The Great Dictator,1940,,
1917,2019,,
Tumbbad,2018,,
Andhadhun,2018,,
Drishyam,2013,,
Jagten,2012,,
Jodaeiye Nader az Simin,2011,,
Incendies,2010,,
Miracle in cell NO.7,2019,,
Babam ve Oglum,2005,,
Inglourious Basterds,2009,,
Eternal Sunshine of the Spotless Mind,2004,,
Amélie,2001,,
Snatch,2000,,
Requiem for a Dream,2000,,
American Beauty,1999,,
Good Will Hunting,1997,,
Bacheha-Ye aseman,1997,,
Toy Story,1995,,
Braveheart,1995,,
Reservoir Dogs,1992,,
Full Metal Jacket,1987,,
Idi i smotri,1985,,
Aliens,1986,,
Amadeus,1984,,
Scarface,1983,,
Star Wars: Episode VI - Return of the Jedi,1983,,
Das Boot,1981,,
Taxi Driver,1976,,
The Sting,1973,,
A Clockwork Orange,1971,,
2001: A Space Odyssey,1968,,
Per qualche dollaro in più,1965,,
Lawrence of Arabia,1962,,
The Apartment,1960,,
North by Northwest,1959,,
Vertigo,1958,,
Singin' in the Rain,1952,,
Ikiru,1952,,
Ladri di biciclette,1948,,
Double Indemnity,1944,,
Citizen Kane,1941,,
M - Eine Stadt sucht einen Mörder,1931,,
Metropolis,1927,,
The Kid,1921,,
Chhichhore,2019,,
Uri: The Surgical Strike,2018,,
K.G.F: Chapter 1,2018,,
Green Book,2018,,
"Three Billboards Outside Ebbing, Missouri",2017,,
Talvar,2015,,
Baahubali 2: The Conclusion,2017,,
Klaus,2019,,
Drishyam,2015,,
Queen,2013,,
Mandariinid,2013,,
Bhaag Milkha Bhaag,2013,,
Gangs of Wasseypur,2012,,
Udaan,2010,,
Paan Singh Tomar,2012,,
El secreto de sus ojos,2009,,
Warrior,2011,,
Shutter Island,2010,,
Up,2009,,
The Wolf of Wall Street,2013,,
Chak De! India,2007,,
There Will Be Blood,2007,,
Pan's Labyrinth,2006,,
Toy Story 3,2010,,
V for Vendetta,2005,,
Rang De Basanti,2006,,
Black,2005,,
Batman Begins,2005,,
"Swades: We, the People",2004,,
Der Untergang,2004,,
Hauru no ugoku shiro,2004,,
A Beautiful Mind,2001,,
Hera Pheri,2000,,
"Lock, Stock and Two Smoking Barrels",1998,,
L.A. Confidential,1997,,
Eskiya,1996,,
Heat,1995,,
Casino,1995,,
Andaz Apna Apna,1994,,
Unforgiven,1992,,
Indiana Jones and the Last Crusade,1989,,
Dom za vesanje,1988,,
Tonari no Totoro,1988,,
Die Hard,1988,,
Ran,1985,,
Raging Bull,1980,,
Stalker,1979,,
Höstsonaten,1978,,
The Message,1976,,
Sholay,1975,,
Monty Python and the Holy Grail,1975,,
The Great Escape,1963,,
To Kill a Mockingbird,1962,,
Yôjinbô,1961,,
Judgment at Nuremberg,1961,,
Some Like It Hot,1959,,
Smultronstället,1957,,
Det sjunde inseglet,1957,,
Du rififi chez les hommes,1955,,
Dial M for Murder,1954,,
Tôkyô monogatari,1953,,
Rashômon,1950,,
All About Eve,1950,,
The Treasure of the Sierra Madre,1948,,
To Be or Not to Be,1942,,
The Gold Rush,1925,,
Sherlock Jr.,1924,,
Portrait de la jeune fille en feu,2019,,
Pink,2016,,
Koe no katachi,2016,,
Contratiempo,2016,,
Ah-ga-ssi,2016,,
Mommy,2014,,
Haider,2014,,
Logan,2017,,
Room,2015,,
Relatos salvajes,2014,,
Soul,2020,,
Kis Uykusu,2014,,
PK,2014,,
OMG: Oh My God!,2012,,
The Grand Budapest Hotel,2014,,
Gone Girl,2014,,
Ôkami kodomo no Ame to Yuki,2012,,
Hacksaw Ridge,2016,,
Inside Out,2015,,
Barfi!,2012,,
12 Years a Slave,2013,,
Rush,2013,,
Ford v Ferrari,2019,,
Spotlight,2015,,
Song of the Sea,2014,,
Kahaani,2012,,
Zindagi Na Milegi Dobara,2011,,
Prisoners,2013,,
Mad Max: Fury Road,2015,,
A Wednesday,2008,,
Gran Torino,2008,,
Harry Potter and the Deathly Hallows: Part 2,2011,,
Okuribito,2008,,
Hachi: A Dog's Tale,2009,,
Mary and Max,2009,,
How to Train Your Dragon,2010,,
Into the Wild,2007,,
No Country for Old Men,2007,,
Lage Raho Munna Bhai,2006,,
Million Dollar Baby,2004,,
Hotel Rwanda,2004,,
Taegukgi hwinalrimyeo,2004,,
Before Sunset,2004,,
Munna Bhai M.B.B.S.,2003,,
Salinui chueok,2003,,
Dil Chahta Hai,2001,,
Kill Bill: Vol. 1,2003,,
Finding Nemo,2003,,
Catch Me If You Can,2002,,
Amores perros,2000,,
"Monsters, Inc.",2001,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,,
Lagaan: Once Upon a Time in India,2001,,
The Sixth Sense,1999,,
La leggenda del pianista sull'oceano,1998,,
The Truman Show,1998,,
"Crna macka, beli macor",1998,,
The Big Lebowski,1998,,
Fa yeung nin wah,2000,,
Trainspotting,1996,,
Fargo,1996,,
Underground,1995,,
La haine,1995,,
Dilwale Dulhania Le Jayenge,1995,,
Before Sunrise,1995,,
Trois couleurs: Rouge,1994,,
Chung Hing sam lam,1994,,
Jurassic Park,1993,,
In the Name of the Father,1993,,
Ba wang bie ji,1993,,
Dà hóng denglong gaogao guà,1991,,
Dead Poets Society,1989,,
Stand by Me,1986,,
Platoon,1986,,
"Paris, Texas",1984,,
Kaze no tani no Naushika,1984,,
The Thing,1982,,
Pink Floyd: The Wall,1982,,
Fitzcarraldo,1982,,
Fanny och Alexander,1982,,
Blade Runner,1982,,
The Elephant Man,1980,,
Life of Brian,1979,,
The Deer Hunter,1978,,
Rocky,1976,,
Network,1976,,
Barry Lyndon,1975,,
Zerkalo,1975,,
Chinatown,1974,,
Paper Moon,1973,,
Viskningar och rop,1972,,
Solaris,1972,,
Le samouraï,1967,,
Cool Hand Luke,1967,,
Persona,1966,,
Andrei Rublev,1966,,
La battaglia di Algeri,1966,,
El ángel exterminador,1962,,
What Ever Happened to Baby Jane?,1962,,
Sanjuro,1962,,
The Man Who Shot Liberty Valance,1962,,
Ivanovo detstvo,1962,,
Jungfrukällan,1960,,
Inherit the Wind,1960,,
Les quatre cents coups,1959,,
Ben-Hur,1959,,
Kakushi-toride no san-akunin,1958,,
Le notti di Cabiria,1957,,
Kumonosu-jô,1957,,
The Bridge on the River Kwai,1957,,
On the Waterfront,1954,,
Le salaire de la peur,1953,,
Ace in the Hole,1951,,
White Heat,1949,,
The Third Man,1949,,
The Red Shoes,1948,,
The Shop Around the Corner,1940,,
Rebecca,1940,,
Mr. Smith Goes to Washington,1939,,
Gone with the Wind,1939,,
La Grande Illusion,1937,,
It Happened One Night,1934,,
La passion de Jeanne d'Arc,1928,,
The Circus,1928,,
Sunrise: A Song of Two Humans,1927,,
The General,1926,,
Das Cabinet des Dr. Caligari,1920,,
Badhaai ho,2018,,
Togo,2019,,
Airlift,2016,,
Bajrangi Bhaijaan,2015,,
Baby,2015,,
La La Land,2016,,
Lion,2016,,
The Martian,2015,,
Zootopia,2016,,
Bãhubali: The Beginning,2015,,
Kaguyahime no monogatari,2013,,
Wonder,2017,,
Gully Boy,2019,,
Special Chabbis,2013,,
Short Term 12,2013,,
Serbuan maut 2: Berandal,2014,,
The Imitation Game,2014,,
Guardians of the Galaxy,2014,,
Blade Runner 2049,2017,,
Her,2013,,
Bohemian Rhapsody,2018,,
The Revenant,2015,,
The Perks of Being a Wallflower,2012,,
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,
The King's Speech,2010,,
The Help,2011,,
Deadpool,2016,,
Darbareye Elly,2009,,
Dev.D,2009,,
Yip Man,2008,,
My Name Is Khan,2010,,
Nefes: Vatan Sagolsun,2009,,
Slumdog Millionaire,2008,,
Black Swan,2010,,
Tropa de Elite,2007,,
The Avengers,2012,,
Persepolis,2007,,
Dallas Buyers Club,2013,,
The Pursuit of Happyness,2006,,
Blood Diamond,2006,,
The Bourne Ultimatum,2007,,
Bin-jip,2004,,
Sin City,2005,,
Le scaphandre et le papillon,2007,,
G.O.R.A.,2004,,
Ratatouille,2007,,
Casino Royale,2006,,
Kill Bill: Vol. 2,2004,,
Vozvrashchenie,2003,,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,,
Mar adentro,2014,,
Cinderella Man,2005,,
Kal Ho Naa Ho,2003,,
Mou gaan dou,2002,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,
Big Fish,2003,,
The Incredibles,2004,,
Yeopgijeogin geunyeo,2001,,
Dogville,2003,,
Vizontele,2001,,
Donnie Darko,2001,,
Magnolia,1999,,
Dancer in the Dark,2000,,
The Straight Story,1999,,
Pâfekuto burû,1997,,
Festen,1998,,
Central do Brasil,1998,,
The Iron Giant,1999,,
Knockin' on Heaven's Door,1997,,
Sling Blade,1996,,
Secrets & Lies,1996,,
Twelve Monkeys,1995,,
Kôkaku Kidôtai,1995,,
The Nightmare Before Christmas,1993,,
Groundhog Day,1993,,
Bound by Honor,1993,,
Scent of a Woman,1992,,
Aladdin,1992,,
JFK,1991,,
Beauty and the Beast,1991,,
Dances with Wolves,1990,,
Do the Right Thing,1989,,
Rain Man,1988,,
Akira,1988,,
The Princess Bride,1987,,
Der Himmel über Berlin,1987,,
Au revoir les enfants,1987,,
Tenkû no shiro Rapyuta,1986,,
The Terminator,1984,,
Gandhi,1982,,
Kagemusha,1980,,
Being There,1979,,
Annie Hall,1977,,
Jaws,1975,,
Dog Day Afternoon,1975,,
Young Frankenstein,1974,,
Papillon,1973,,
The Exorcist,1973,,
Sleuth,1972,,
The Last Picture Show,1971,,
Fiddler on the Roof,1971,,
Il conformista,1970,,
Butch Cassidy and the Sundance Kid,1969,,
Rosemary's Baby,1968,,
Planet of the Apes,1968,,
The Graduate,1967,,
Who's Afraid of Virginia Woolf?,1966,,
The Sound of Music,1965,,
Doctor Zhivago,1965,,
Per un pugno di dollari,1964,,
8½,1963,,
Vivre sa vie: Film en douze tableaux,1962,,
The Hustler,1961,,
La dolce vita,1960,,
Rio Bravo,1959,,
Anatomy of a Murder,1959,,
Touch of Evil,1958,,
Cat on a Hot Tin Roof,1958,,
Sweet Smell of Success,1957,,
The Killing,1956,,
The Night of the Hunter,1955,,
La Strada,1954,,
Les diaboliques,1955,,
Stalag 17,1953,,
Roman Holiday,1953,,
A Streetcar Named Desire,1951,,
In a Lonely Place,1950,,
Kind Hearts and Coronets,1949,,
Rope,1948,,
Out of the Past,1947,,
Brief Encounter,1945,,
Laura,1944,,
The Best Years of Our Lives,1946,,
Arsenic and Old Lace,1942,,
The Maltese Falcon,1941,,
The Grapes of Wrath,1940,,
The Wizard of Oz,1939,,
La règle du jeu,1939,,
The Thin Man,1934,,
All Quiet on the Western Front,1930,,
Bronenosets Potemkin,1925,,
Knives Out,2019,,
Dil Bechara,2020,,
Manbiki kazoku,2018,,
Marriage Story,2019,,
Call Me by Your Name,2017,,
"I, Daniel Blake",2016,,
Isle of Dogs,2018,,
Hunt for the Wilderpeople,2016,,
Captain Fantastic,2016,,
Sing Street,2016,,
Thor: Ragnarok,2017,,
Nightcrawler,2014,,
Jojo Rabbit,2019,,
Arrival,2016,,
Star Wars: Episode VII - The Force Awakens,2015,,
Before Midnight,2013,,
X-Men: Days of Future Past,2014,,
Bir Zamanlar Anadolu'da,2011,,
The Artist,2011,,
Edge of Tomorrow,2014,,
Amour,2012,,
The Irishman,2019,,
Un prophète,2009,,
Moon,2009,,
Låt den rätte komma in,2008,,
District 9,2009,,
The Wrestler,2008,,
Jab We Met,2007,,
Boyhood,2014,,
"4 luni, 3 saptamâni si 2 zile",2007,,
Star Trek,2009,,
In Bruges,2008,,
The Man from Earth,2007,,
Letters from Iwo Jima,2006,,
The Fall,2006,,
Life of Pi,2012,,
Fantastic Mr. Fox,2009,,
C.R.A.Z.Y.,2005,,
Les choristes,2004,,
Iron Man,2008,,
Shaun of the Dead,2004,,
Gegen die Wand,2004,,
Mystic River,2003,,
Harry Potter and the Prisoner of Azkaban,2004,,
Ying xiong,2002,,
Hable con ella,2002,,
No Man's Land,2001,,
Cowboy Bebop: Tengoku no tobira,2001,,
The Bourne Identity,2002,,
Nueve reinas,2000,,
Children of Men,2006,,
Almost Famous,2000,,
Mulholland Dr.,2001,,
Toy Story 2,1999,,
Boogie Nights,1997,,
Mimi wo sumaseba,1995,,
Once Were Warriors,1994,,
True Romance,1993,,
Trois couleurs: Bleu,1993,,
Jûbê ninpûchô,1993,,
Carlito's Way,1993,,
Edward Scissorhands,1990,,
My Left Foot: The Story of Christy Brown,1989,,
Crimes and Misdemeanors,1989,,
The Untouchables,1987,,
Hannah and Her Sisters,1986,,
Brazil,1985,,
This Is Spinal Tap,1984,,
A Christmas Story,1983,,
The Blues Brothers,1980,,
Manhattan,1979,,
All That Jazz,1979,,
Dawn of the Dead,1978,,
All the President's Men,1976,,
La montaña sagrada,1973,,
Amarcord,1973,,
Le charme discret de la bourgeoisie,1972,,
"Aguirre, der Zorn Gottes",1972,,
Harold and Maude,1971,,
Patton,1970,,
The Wild Bunch,1969,,
Night of the Living Dead,1968,,
The Lion in Winter,1968,,
In the Heat of the Night,1967,,
Charade,1963,,
The Manchurian Candidate,1962,,
Spartacus,1960,,
L'avventura,1960,,
Hiroshima mon amour,1959,,
The Ten Commandments,1956,,
The Searchers,1956,,
East of Eden,1955,,
High Noon,1952,,
Strangers on a Train,1951,,
Harvey,1950,,
Miracle on 34th Street,1947,,
Notorious,1946,,
The Big Sleep,1946,,
The Lost Weekend,1945,,
The Philadelphia Story,1940,,
His Girl Friday,1940,,
The Adventures of Robin Hood,1938,,
A Night at the Opera,1935,,
King Kong,1933,,
Freaks,1932,,
Nosferatu,1922,,
The Gentlemen,2019,,
Raazi,2018,,
Sound of Metal,2019,,
Forushande,2016,,
Dunkirk,2017,,
Perfetti sconosciuti,2016,,
Hidden Figures,2016,,
Paddington 2,2017,,
Udta Punjab,2016,,
Kubo and the Two Strings,2016,,
M.S. Dhoni: The Untold Story,2016,,
Manchester by the Sea,2016,,
Under sandet,2015,,
Rogue One,2016,,
Captain America: Civil War,2016,,
The Hateful Eight,2015,,
Little Women,2019,,
Loving Vincent,2017,,
Pride,2014,,
Le passé,2013,,
La grande bellezza,2013,,
The Lunchbox,2013,,
Vicky Donor,2012,,
Big Hero 6,2014,,
About Time,2013,,
English Vinglish,2012,,
Kaze tachinu,2013,,
Toy Story 4,2019,,
La migliore offerta,2013,,
Moonrise Kingdom,2012,,
How to Train Your Dragon 2,2014,,
The Big Short,2015,,
Kokuhaku,2010,,
Ang-ma-reul bo-at-da,2010,,
The Girl with the Dragon Tattoo,2011,,
Captain Phillips,2013,,
Ajeossi,2010,,
Straight Outta Compton,2015,,
Madeo,2009,,
Chugyeokja,2008,,
The Hobbit: The Desolation of Smaug,2013,,
Das weiße Band - Eine deutsche Kindergeschichte,2009,,
Män som hatar kvinnor,2009,,
The Trial of the Chicago 7,2020,,
Druk,2020,,
The Fighter,2010,,
Taken,2008,,
The Boy in the Striped Pyjamas,2008,,
Once,2007,,
The Hobbit: An Unexpected Journey,2012,,
Auf der anderen Seite,2007,,
Atonement,2007,,
Drive,2011,,
American Gangster,2007,,
Avatar,2009,,
Mr. Nobody,2009,,
Apocalypto,2006,,
Little Miss Sunshine,2006,,
Hot Fuzz,2007,,
The Curious Case of Benjamin Button,2008,,
Veer-Zaara,2004,,
Adams æbler,2005,,
Pride & Prejudice,2005,,
The World's Fastest Indian,2005,,
Tôkyô goddofâzâzu,2003,,
Serenity,2005,,
Walk the Line,2005,,
Ondskan,2003,,
The Notebook,2004,,
Diarios de motocicleta,2004,,
Lilja 4-ever,2002,,
Les triplettes de Belleville,2003,,
Gongdong gyeongbi guyeok JSA,2000,,
The Count of Monte Cristo,2002,,
Waking Life,2001,,
Remember the Titans,2000,,
Wo hu cang long,2000,,
Todo sobre mi madre,1999,,
Cast Away,2000,,
The Boondock Saints,1999,,
The Insider,1999,,
October Sky,1999,,
Shrek,2001,,
Titanic,1997,,
Hana-bi,1997,,
Gattaca,1997,,
The Game,1997,,
Breaking the Waves,1996,,
Ed Wood,1994,,
What's Eating Gilbert Grape,1993,,
Tombstone,1993,,
The Sandlot,1993,,
The Remains of the Day,1993,,
Naked,1993,,
The Fugitive,1993,,
A Bronx Tale,1993,,
Batman: Mask of the Phantasm,1993,,
Lat sau san taam,1992,,
Night on Earth,1991,,
La double vie de Véronique,1991,,
Boyz n the Hood,1991,,
Misery,1990,,
Awakenings,1990,,
Majo no takkyûbin,1989,,
Glory,1989,,
Dip huet seung hung,1989,,
Back to the Future Part II,1989,,
Mississippi Burning,1988,,
Predator,1987,,
Evil Dead II,1987,,
Ferris Bueller's Day Off,1986,,
Down by Law,1986,,
The Goonies,1985,,
The Color Purple,1985,,
The Breakfast Club,1985,,
The Killing Fields,1984,,
Ghostbusters,1984,,
The Right Stuff,1983,,
The King of Comedy,1982,,
E.T. the Extra-Terrestrial,1982,,
Kramer vs. Kramer,1979,,
Days of Heaven,1978,,
The Outlaw Josey Wales,1976,,
The Man Who Would Be King,1975,,
The Conversation,1974,,
La planète sauvage,1973,,
The Day of the Jackal,1973,,
Badlands,1973,,
Cabaret,1972,,
Willy Wonka & the Chocolate Factory,1971,,
Midnight Cowboy,1969,,
Wait Until Dark,1967,,
Guess Who's Coming to Dinner,1967,,
Bonnie and Clyde,1967,,
My Fair Lady,1964,,
Mary Poppins,1964,,
The Longest Day,1962,,
Jules et Jim,1962,,
The Innocents,1961,,
À bout de souffle,1960,,
Red River,1948,,
Key Largo,1948,,
To Have and Have Not,1944,,
Shadow of a Doubt,1943,,
Stagecoach,1939,,
The Lady Vanishes,1938,,
Bringing Up Baby,1938,,
Bride of Frankenstein,1935,,
Duck Soup,1933,,
Scarface: The Shame of the Nation,1932,,
Frankenstein,1931,,
Roma,2018,,
God's Own Country,2017,,
Deadpool 2,2018,,
Wind River,2017,,
Get Out,2017,,
Mission: Impossible - Fallout,2018,,
En man som heter Ove,2015,,
What We Do in the Shadows,2014,,
Omoide no Mânî,2014,,
The Theory of Everything,2014,,
Kingsman: The Secret Service,2014,,
The Fault in Our Stars,2014,,
Me and Earl and the Dying Girl,2015,,
Birdman or (The Unexpected Virtue of Ignorance),2014,,
La vie d'Adèle,2013,,
Kai po che!,2013,,
The Broken Circle Breakdown,2012,,
Captain America: The Winter Soldier,2014,,
Rockstar,2011,,
Nebraska,2013,,
Wreck-It Ralph,2012,,
Le Petit Prince,2015,,
Detachment,2011,,
Midnight in Paris,2011,,
The Lego Movie,2014,,
Gravity,2013,,
Star Trek Into Darkness,2013,,
Beasts of No Nation,2015,,
The Social Network,2010,,
X: First Class,2011,,
The Hangover,2009,,
Skyfall,2012,,
Silver Linings Playbook,2012,,
Argo,2012,,
(500) Days of Summer,2009,,
Harry Potter and the Deathly Hallows: Part 1,2010,,
Gake no ue no Ponyo,2008,,
Frost/Nixon,2008,,
Papurika,2006,,
Changeling,2008,,
Flipped,2010,,
Toki o kakeru shôjo,2006,,
Death Note: Desu nôto,2006,,
This Is England,2006,,
Ex Machina,2014,,
Efter brylluppet,2006,,
The Last King of Scotland,2006,,
Zodiac,2007,,
Lucky Number Slevin,2006,,
Joyeux Noël,2005,,
Control,2007,,
Tangled,2010,,
Zwartboek,2006,,
Brokeback Mountain,2005,,
3:10 to Yuma,2007,,
Crash,2004,,
Kung fu,2004,,
The Bourne Supremacy,2004,,
The Machinist,2004,,
Ray,2004,,
Lost in Translation,2003,,
Harry Potter and the Goblet of Fire,2005,,
Man on Fire,2004,,
Coraline,2009,,
The Last Samurai,2003,,
The Magdalene Sisters,2002,,
Good Bye Lenin!,2003,,
In America,2002,,
I Am Sam,2001,,
Adaptation.,2002,,
Black Hawk Down,2001,,
Road to Perdition,2002,,
Das Experiment,2001,,
Billy Elliot,2000,,
Hedwig and the Angry Inch,2001,,
Ocean's Eleven,2001,,
Vampire Hunter D: Bloodlust,2000,,
"O Brother, Where Art Thou?",2000,,
Interstate 60: Episodes of the Road,2002,,
"South Park: Bigger, Longer & Uncut",1999,,
Office Space,1999,,
Happiness,1998,,
Training Day,2001,,
Rushmore,1998,,
Abre los ojos,1997,,
Being John Malkovich,1999,,
As Good as It Gets,1997,,
The Fifth Element,1997,,
Le dîner de cons,1998,,
Donnie Brasco,1997,,
Shine,1996,,
Primal Fear,1996,,
Hamlet,1996,,
A Little Princess,1995,,
Do lok tin si,1995,,
Il postino,1994,,
Clerks,1994,,
Short Cuts,1993,,
Philadelphia,1993,,
The Muppet Christmas Carol,1992,,
Malcolm X,1992,,
The Last of the Mohicans,1992,,
Kurenai no buta,1992,,
Glengarry Glen Ross,1992,,
A Few Good Men,1992,,
Fried Green Tomatoes,1991,,
Barton Fink,1991,,
Miller's Crossing,1990,,
Who Framed Roger Rabbit,1988,,
Spoorloos,1988,,
Withnail & I,1987,,
The Last Emperor,1987,,
Empire of the Sun,1987,,
Der Name der Rose,1986,,
Blue Velvet,1986,,
The Purple Rose of Cairo,1985,,
After Hours,1985,,
Zelig,1983,,
The Verdict,1982,,
Star Trek II: The Wrath of Khan,1982,,
First Blood,1982,,
Ordinary People,1980,,
Airplane!,1980,,
Rupan sansei: Kariosutoro no shiro,1979,,
Halloween,1978,,
Le locataire,1976,,
Love and Death,1975,,
The Taking of Pelham One Two Three,1974,,
Blazing Saddles,1974,,
Serpico,1973,,
Enter the Dragon,1973,,
Deliverance,1972,,
The French Connection,1971,,
Dirty Harry,1971,,
Where Eagles Dare,1968,,
The Odd Couple,1968,,
The Dirty Dozen,1967,,
Belle de jour,1967,,
A Man for All Seasons,1966,,
Repulsion,1965,,
Zulu,1964,,
Goldfinger,1964,,
The Birds,1963,,
Cape Fear,1962,,
Peeping Tom,1960,,
The Magnificent Seven,1960,,
Les yeux sans visage,1960,,
Invasion of the Body Snatchers,1956,,
Rebel Without a Cause,1955,,
The Ladykillers,1955,,
Sabrina,1954,,
The Quiet Man,1952,,
The Day the Earth Stood Still,1951,,
The African Queen,1951,,
Gilda,1946,,
Fantasia,1940,,
The Invisible Man,1933,,
Dark Waters,2019,,
Searching,2018,,
Once Upon a Time... in Hollywood,2019,,
Nelyubov,2017,,
The Florida Project,2017,,
Just Mercy,2019,,
Gifted,2017,,
The Peanut Butter Falcon,2019,,
Victoria,2015,,
Mustang,2015,,
Guardians of the Galaxy Vol. 2,2017,,
Baby Driver,2017,,
Only the Brave,2017,,
Bridge of Spies,2015,,
Incredibles 2,2018,,
Moana,2016,,
Sicario,2015,,
Creed,2015,,
Leviafan,2014,,
Hell or High Water,2016,,
Philomena,2013,,
Dawn of the Planet of the Apes,2014,,
El cuerpo,2012,,
Serbuan maut,2011,,
End of Watch,2012,,
Kari-gurashi no Arietti,2010,,
A Star Is Born,2018,,
True Grit,2010,,
Hævnen,2010,,
Despicable Me,2010,,
50/50,2011,,
Kick-Ass,2010,,
Celda 211,2009,,
Moneyball,2011,,
La piel que habito,2011,,
Zombieland,2009,,
Die Welle,2008,,
Sherlock Holmes,2009,,
The Blind Side,2009,,
The Visitor,2007,,
Seven Pounds,2008,,
Eastern Promises,2007,,
Stardust,2007,,
The Secret of Kells,2009,,
Inside Man,2006,,
Gone Baby Gone,2007,,
La Vie En Rose,2007,,
Huo Yuan Jia,2006,,
The Illusionist,2006,,
Dead Man's Shoes,2004,,
Harry Potter and the Half-Blood Prince,2009,,
300,2006,,
Match Point,2005,,
Watchmen,2009,,
Lord of War,2005,,
Saw,2004,,
"Synecdoche, New York",2008,,
Mysterious Skin,2004,,
Jeux d'enfants,2003,,
Un long dimanche de fiançailles,2004,,
The Station Agent,2003,,
21 Grams,2003,,
Boksuneun naui geot,2002,,
Finding Neverland,2004,,
25th Hour,2002,,
The Butterfly Effect,2004,,
28 Days Later...,2002,,
Batoru rowaiaru,2000,,
The Royal Tenenbaums,2001,,
Y tu mamá también,2001,,
Harry Potter and the Sorcerer's Stone,2001,,
The Others,2001,,
Blow,2001,,
Enemy at the Gates,2001,,
Minority Report,2002,,
The Hurricane,1999,,
American Psycho,2000,,
Lola rennt,1998,,
The Thin Red Line,1998,,
Mulan,1998,,
Fear and Loathing in Las Vegas,1998,,
Funny Games,1997,,
Dark City,1998,,
Sleepers,1996,,
Lost Highway,1997,,
Sense and Sensibility,1995,,
Die Hard: With a Vengeance,1995,,
Dead Man,1995,,
The Bridges of Madison County,1995,,
Apollo 13,PG,,
Trois couleurs: Blanc,1994,,
Falling Down,1993,,
Dazed and Confused,1993,,
My Cousin Vinny,1992,,
Omohide poro poro,1991,,
Delicatessen,1991,,
Home Alone,1990,,
The Godfather: Part III,1990,,
When Harry Met Sally...,1989,,
The Little Mermaid,1989,,
The Naked Gun: From the Files of Police Squad!,1988,,
"Planes, Trains & Automobiles",1987,,
Lethal Weapon,1987,,
Blood Simple,1984,,
On Golden Pond,1981,,
Mad Max 2,1981,,
The Warriors,1979,,
The Muppet Movie,1979,,
Escape from Alcatraz,1979,,
Watership Down,1978,,
Midnight Express,1978,,
Close Encounters of the Third Kind,1977,,
The Long Goodbye,1973,,
Giù la testa,1971,,
Kelly's Heroes,1970,,
The Jungle Book,1967,,
Blowup,1966,,
A Hard Day's Night,1964,,
Breakfast at Tiffany's,1961,,
Giant,1956,,
From Here to Eternity,1953,,
Lifeboat,1944,,
The 39 Steps,1935,,
