third_party_movie_data/extracted_datasets/movie_title,release_year,movie_votes,movie_grade,movie_letter_grade
The Fall,2006,0,0.0,F
Life of Pi,2012,0,0.0,F
Fantastic Mr. Fox,2009,0,0.0,F
C.R.A.Z.Y.,2005,0,0.0,F
Les choristes,2004,0,0.0,F
Iron Man,2008,0,0.0,F
Shaun of the Dead,2004,0,0.0,F
Gegen die Wand,2004,0,0.0,F
Mystic River,2003,0,0.0,F
Harry Potter and the Prisoner of Azkaban,2004,0,0.0,F
Ying xiong,2002,0,0.0,F
Hable con ella,2002,0,0.0,F
No Man's Land,2001,0,0.0,F
Cowboy Bebop: Tengoku no tobira,2001,0,0.0,F
The Bourne Identity,2002,0,0.0,F
Nueve reinas,2000,0,0.0,F
Children of Men,2006,0,0.0,F
Almost Famous,2000,0,0.0,F
Mulholland Dr.,2001,0,0.0,F
Toy Story 2,1999,0,0.0,F
Boogie Nights,1997,0,0.0,F
Mimi wo sumaseba,1995,0,0.0,F
Once Were Warriors,1994,0,0.0,F
True Romance,1993,0,0.0,F
Trois couleurs: Bleu,1993,0,0.0,F
Jûbê ninpûchô,1993,0,0.0,F
Carlito's Way,1993,0,0.0,F
Edward Scissorhands,1990,0,0.0,F
My Left Foot: The Story of Christy Brown,1989,0,0.0,F
Crimes and Misdemeanors,1989,0,0.0,F
The Untouchables,1987,0,0.0,F
Hannah and Her Sisters,1986,0,0.0,F
Brazil,1985,0,0.0,F
This Is Spinal Tap,1984,0,0.0,F
A Christmas Story,1983,0,0.0,F
The Blues Brothers,1980,0,0.0,F
Manhattan,1979,0,0.0,F
All That Jazz,1979,0,0.0,F
Dawn of the Dead,1978,0,0.0,F
All the President's Men,1976,0,0.0,F
La montaña sagrada,1973,0,0.0,F
Amarcord,1973,0,0.0,F
Le charme discret de la bourgeoisie,1972,0,0.0,F
"Aguirre, der Zorn Gottes",1972,0,0.0,F
Harold and Maude,1971,0,0.0,F
Patton,1970,0,0.0,F
The Wild Bunch,1969,0,0.0,F
Night of the Living Dead,1968,0,0.0,F
The Lion in Winter,1968,0,0.0,F
In the Heat of the Night,1967,0,0.0,F
Charade,1963,0,0.0,F
The Manchurian Candidate,1962,0,0.0,F
Spartacus,1960,0,0.0,F
L'avventura,1960,0,0.0,F
Hiroshima mon amour,1959,0,0.0,F
The Ten Commandments,1956,0,0.0,F
The Searchers,1956,0,0.0,F
East of Eden,1955,0,0.0,F
High Noon,1952,0,0.0,F
Strangers on a Train,1951,0,0.0,F
Harvey,1950,0,0.0,F
Miracle on 34th Street,1947,0,0.0,F
Notorious,1946,0,0.0,F
The Big Sleep,1946,0,0.0,F
The Lost Weekend,1945,0,0.0,F
The Philadelphia Story,1940,0,0.0,F
His Girl Friday,1940,0,0.0,F
The Adventures of Robin Hood,1938,0,0.0,F
A Night at the Opera,1935,0,0.0,F
King Kong,1933,0,0.0,F
Freaks,1932,0,0.0,F
Nosferatu,1922,0,0.0,F
The Gentlemen,2019,0,0.0,F
Raazi,2018,0,0.0,F
Sound of Metal,2019,0,0.0,F
Forushande,2016,0,0.0,F
Dunkirk,2017,0,0.0,F
Perfetti sconosciuti,2016,0,0.0,F
Hidden Figures,2016,0,0.0,F
Paddington 2,2017,0,0.0,F
Udta Punjab,2016,0,0.0,F
Kubo and the Two Strings,2016,0,0.0,F
M.S. Dhoni: The Untold Story,2016,0,0.0,F
Manchester by the Sea,2016,0,0.0,F
Under sandet,2015,0,0.0,F
Rogue One,2016,0,0.0,F
Captain America: Civil War,2016,0,0.0,F
The Hateful Eight,2015,0,0.0,F
Little Women,2019,0,0.0,F
Loving Vincent,2017,0,0.0,F
Pride,2014,0,0.0,F
Le passé,2013,0,0.0,F
La grande bellezza,2013,0,0.0,F
The Lunchbox,2013,0,0.0,F
Vicky Donor,2012,0,0.0,F
Big Hero 6,2014,0,0.0,F
About Time,2013,0,0.0,F
English Vinglish,2012,0,0.0,F
Kaze tachinu,2013,0,0.0,F
Toy Story 4,2019,0,0.0,F
La migliore offerta,2013,0,0.0,F
Moonrise Kingdom,2012,0,0.0,F
How to Train Your Dragon 2,2014,0,0.0,F
The Big Short,2015,0,0.0,F
Kokuhaku,2010,0,0.0,F
Ang-ma-reul bo-at-da,2010,0,0.0,F
The Girl with the Dragon Tattoo,2011,0,0.0,F
Captain Phillips,2013,0,0.0,F
Ajeossi,2010,0,0.0,F
Straight Outta Compton,2015,0,0.0,F
Madeo,2009,0,0.0,F
Chugyeokja,2008,0,0.0,F
The Hobbit: The Desolation of Smaug,2013,0,0.0,F
Das weiße Band - Eine deutsche Kindergeschichte,2009,0,0.0,F
Män som hatar kvinnor,2009,0,0.0,F
The Trial of the Chicago 7,2020,0,0.0,F
Druk,2020,0,0.0,F
The Fighter,2010,0,0.0,F
Taken,2008,0,0.0,F
The Boy in the Striped Pyjamas,2008,0,0.0,F
Once,2007,0,0.0,F
The Hobbit: An Unexpected Journey,2012,0,0.0,F
Auf der anderen Seite,2007,0,0.0,F
Atonement,2007,0,0.0,F
Drive,2011,0,0.0,F
American Gangster,2007,0,0.0,F
Avatar,2009,0,0.0,F
Mr. Nobody,2009,0,0.0,F
Apocalypto,2006,0,0.0,F
Little Miss Sunshine,2006,0,0.0,F
Hot Fuzz,2007,0,0.0,F
The Curious Case of Benjamin Button,2008,0,0.0,F
Veer-Zaara,2004,0,0.0,F
Adams æbler,2005,0,0.0,F
Pride & Prejudice,2005,0,0.0,F
The World's Fastest Indian,2005,0,0.0,F
Tôkyô goddofâzâzu,2003,0,0.0,F
Serenity,2005,0,0.0,F
Walk the Line,2005,0,0.0,F
Ondskan,2003,0,0.0,F
The Notebook,2004,0,0.0,F
Diarios de motocicleta,2004,0,0.0,F
Lilja 4-ever,2002,0,0.0,F
Les triplettes de Belleville,2003,0,0.0,F
Gongdong gyeongbi guyeok JSA,2000,0,0.0,F
The Count of Monte Cristo,2002,0,0.0,F
Waking Life,2001,0,0.0,F
Remember the Titans,2000,0,0.0,F
Wo hu cang long,2000,0,0.0,F
Todo sobre mi madre,1999,0,0.0,F
Cast Away,2000,0,0.0,F
The Boondock Saints,1999,0,0.0,F
The Insider,1999,0,0.0,F
October Sky,1999,0,0.0,F
Shrek,2001,0,0.0,F
Titanic,1997,0,0.0,F
Hana-bi,1997,0,0.0,F
Gattaca,1997,0,0.0,F
The Game,1997,0,0.0,F
Breaking the Waves,1996,0,0.0,F
Ed Wood,1994,0,0.0,F
What's Eating Gilbert Grape,1993,0,0.0,F
Tombstone,1993,0,0.0,F
The Sandlot,1993,0,0.0,F
The Remains of the Day,1993,0,0.0,F
Naked,1993,0,0.0,F
The Fugitive,1993,0,0.0,F
A Bronx Tale,1993,0,0.0,F
Batman: Mask of the Phantasm,1993,0,0.0,F
Lat sau san taam,1992,0,0.0,F
Night on Earth,1991,0,0.0,F
La double vie de Véronique,1991,0,0.0,F
Boyz n the Hood,1991,0,0.0,F
Misery,1990,0,0.0,F
Awakenings,1990,0,0.0,F
Majo no takkyûbin,1989,0,0.0,F
Glory,1989,0,0.0,F
Dip huet seung hung,1989,0,0.0,F
Back to the Future Part II,1989,0,0.0,F
Mississippi Burning,1988,0,0.0,F
Predator,1987,0,0.0,F
Evil Dead II,1987,0,0.0,F
Ferris Bueller's Day Off,1986,0,0.0,F
Down by Law,1986,0,0.0,F
The Goonies,1985,0,0.0,F
The Color Purple,1985,0,0.0,F
The Breakfast Club,1985,0,0.0,F
The Killing Fields,1984,0,0.0,F
Ghostbusters,1984,0,0.0,F
The Right Stuff,1983,0,0.0,F
The King of Comedy,1982,0,0.0,F
E.T. the Extra-Terrestrial,1982,0,0.0,F
Kramer vs. Kramer,1979,0,0.0,F
Days of Heaven,1978,0,0.0,F
The Outlaw Josey Wales,1976,0,0.0,F
The Man Who Would Be King,1975,0,0.0,F
The Conversation,1974,0,0.0,F
La planète sauvage,1973,0,0.0,F
The Day of the Jackal,1973,0,0.0,F
Badlands,1973,0,0.0,F
Cabaret,1972,0,0.0,F
Willy Wonka & the Chocolate Factory,1971,0,0.0,F
Midnight Cowboy,1969,0,0.0,F
Wait Until Dark,1967,0,0.0,F
Guess Who's Coming to Dinner,1967,0,0.0,F
Bonnie and Clyde,1967,0,0.0,F
My Fair Lady,1964,0,0.0,F
Mary Poppins,1964,0,0.0,F
The Longest Day,1962,0,0.0,F
Jules et Jim,1962,0,0.0,F
The Innocents,1961,0,0.0,F
À bout de souffle,1960,0,0.0,F
Red River,1948,0,0.0,F
Key Largo,1948,0,0.0,F
To Have and Have Not,1944,0,0.0,F
Shadow of a Doubt,1943,0,0.0,F
Stagecoach,1939,0,0.0,F
The Lady Vanishes,1938,0,0.0,F
Bringing Up Baby,1938,0,0.0,F
Bride of Frankenstein,1935,0,0.0,F
Duck Soup,1933,0,0.0,F
Scarface: The Shame of the Nation,1932,0,0.0,F
Frankenstein,1931,0,0.0,F
Roma,2018,0,0.0,F
God's Own Country,2017,0,0.0,F
Deadpool 2,2018,0,0.0,F
Wind River,2017,0,0.0,F
Get Out,2017,0,0.0,F
Mission: Impossible - Fallout,2018,0,0.0,F
En man som heter Ove,2015,0,0.0,F
What We Do in the Shadows,2014,0,0.0,F
Omoide no Mânî,2014,0,0.0,F
The Theory of Everything,2014,0,0.0,F
Kingsman: The Secret Service,2014,0,0.0,F
The Fault in Our Stars,2014,0,0.0,F
Me and Earl and the Dying Girl,2015,0,0.0,F
Birdman or (The Unexpected Virtue of Ignorance),2014,0,0.0,F
La vie d'Adèle,2013,0,0.0,F
Kai po che!,2013,0,0.0,F
The Broken Circle Breakdown,2012,0,0.0,F
Captain America: The Winter Soldier,2014,0,0.0,F
Rockstar,2011,0,0.0,F
Nebraska,2013,0,0.0,F
Wreck-It Ralph,2012,0,0.0,F
Le Petit Prince,2015,0,0.0,F
Detachment,2011,0,0.0,F
Midnight in Paris,2011,0,0.0,F
The Lego Movie,2014,0,0.0,F
Gravity,2013,0,0.0,F
Star Trek Into Darkness,2013,0,0.0,F
Beasts of No Nation,2015,0,0.0,F
The Social Network,2010,0,0.0,F
X: First Class,2011,0,0.0,F
The Hangover,2009,0,0.0,F
Skyfall,2012,0,0.0,F
Silver Linings Playbook,2012,0,0.0,F
Argo,2012,0,0.0,F
(500) Days of Summer,2009,0,0.0,F
Harry Potter and the Deathly Hallows: Part 1,2010,0,0.0,F
Gake no ue no Ponyo,2008,0,0.0,F
Frost/Nixon,2008,0,0.0,F
Papurika,2006,0,0.0,F
Changeling,2008,0,0.0,F
Flipped,2010,0,0.0,F
Toki o kakeru shôjo,2006,0,0.0,F
Death Note: Desu nôto,2006,0,0.0,F
This Is England,2006,0,0.0,F
Ex Machina,2014,0,0.0,F
Efter brylluppet,2006,0,0.0,F
The Last King of Scotland,2006,0,0.0,F
Zodiac,2007,0,0.0,F
Lucky Number Slevin,2006,0,0.0,F
Joyeux Noël,2005,0,0.0,F
Control,2007,0,0.0,F
Tangled,2010,0,0.0,F
Zwartboek,2006,0,0.0,F
Brokeback Mountain,2005,0,0.0,F
3:10 to Yuma,2007,0,0.0,F
Crash,2004,0,0.0,F
Kung fu,2004,0,0.0,F
The Bourne Supremacy,2004,0,0.0,F
The Machinist,2004,0,0.0,F
Ray,2004,0,0.0,F
Lost in Translation,2003,0,0.0,F
Harry Potter and the Goblet of Fire,2005,0,0.0,F
Man on Fire,2004,0,0.0,F
Coraline,2009,0,0.0,F
The Last Samurai,2003,0,0.0,F
The Magdalene Sisters,2002,0,0.0,F
Good Bye Lenin!,2003,0,0.0,F
In America,2002,0,0.0,F
I Am Sam,2001,0,0.0,F
Adaptation.,2002,0,0.0,F
Black Hawk Down,2001,0,0.0,F
Road to Perdition,2002,0,0.0,F
Das Experiment,2001,0,0.0,F
Billy Elliot,2000,0,0.0,F
Hedwig and the Angry Inch,2001,0,0.0,F
Ocean's Eleven,2001,0,0.0,F
Vampire Hunter D: Bloodlust,2000,0,0.0,F
"O Brother, Where Art Thou?",2000,0,0.0,F
Interstate 60: Episodes of the Road,2002,0,0.0,F
"South Park: Bigger, Longer & Uncut",1999,0,0.0,F
Office Space,1999,0,0.0,F
Happiness,1998,0,0.0,F
Training Day,2001,0,0.0,F
Rushmore,1998,0,0.0,F
Abre los ojos,1997,0,0.0,F
Being John Malkovich,1999,0,0.0,F
As Good as It Gets,1997,0,0.0,F
The Fifth Element,1997,0,0.0,F
Le dîner de cons,1998,0,0.0,F
Donnie Brasco,1997,0,0.0,F
Shine,1996,0,0.0,F
Primal Fear,1996,0,0.0,F
Hamlet,1996,0,0.0,F
A Little Princess,1995,0,0.0,F
Do lok tin si,1995,0,0.0,F
Il postino,1994,0,0.0,F
Clerks,1994,0,0.0,F
Short Cuts,1993,0,0.0,F
Philadelphia,1993,0,0.0,F
The Muppet Christmas Carol,1992,0,0.0,F
Malcolm X,1992,0,0.0,F
The Last of the Mohicans,1992,0,0.0,F
Kurenai no buta,1992,0,0.0,F
Glengarry Glen Ross,1992,0,0.0,F
A Few Good Men,1992,0,0.0,F
Fried Green Tomatoes,1991,0,0.0,F
Barton Fink,1991,0,0.0,F
Miller's Crossing,1990,0,0.0,F
Who Framed Roger Rabbit,1988,0,0.0,F
Spoorloos,1988,0,0.0,F
Withnail & I,1987,0,0.0,F
The Last Emperor,1987,0,0.0,F
Empire of the Sun,1987,0,0.0,F
Der Name der Rose,1986,0,0.0,F
Blue Velvet,1986,0,0.0,F
The Purple Rose of Cairo,1985,0,0.0,F
After Hours,1985,0,0.0,F
Zelig,1983,0,0.0,F
The Verdict,1982,0,0.0,F
Star Trek II: The Wrath of Khan,1982,0,0.0,F
First Blood,1982,0,0.0,F
Ordinary People,1980,0,0.0,F
Airplane!,1980,0,0.0,F
Rupan sansei: Kariosutoro no shiro,1979,0,0.0,F
Halloween,1978,0,0.0,F
Le locataire,1976,0,0.0,F
Love and Death,1975,0,0.0,F
The Taking of Pelham One Two Three,1974,0,0.0,F
Blazing Saddles,1974,0,0.0,F
Serpico,1973,0,0.0,F
Enter the Dragon,1973,0,0.0,F
Deliverance,1972,0,0.0,F
The French Connection,1971,0,0.0,F
Dirty Harry,1971,0,0.0,F
Where Eagles Dare,1968,0,0.0,F
The Odd Couple,1968,0,0.0,F
The Dirty Dozen,1967,0,0.0,F
Belle de jour,1967,0,0.0,F
A Man for All Seasons,1966,0,0.0,F
Repulsion,1965,0,0.0,F
Zulu,1964,0,0.0,F
Goldfinger,1964,0,0.0,F
The Birds,1963,0,0.0,F
Cape Fear,1962,0,0.0,F
Peeping Tom,1960,0,0.0,F
The Magnificent Seven,1960,0,0.0,F
Les yeux sans visage,1960,0,0.0,F
Invasion of the Body Snatchers,1956,0,0.0,F
Rebel Without a Cause,1955,0,0.0,F
The Ladykillers,1955,0,0.0,F
Sabrina,1954,0,0.0,F
The Quiet Man,1952,0,0.0,F
The Day the Earth Stood Still,1951,0,0.0,F
The African Queen,1951,0,0.0,F
Gilda,1946,0,0.0,F
Fantasia,1940,0,0.0,F
The Invisible Man,1933,0,0.0,F
Dark Waters,2019,0,0.0,F
Searching,2018,0,0.0,F
Once Upon a Time... in Hollywood,2019,0,0.0,F
Nelyubov,2017,0,0.0,F
The Florida Project,2017,0,0.0,F
Just Mercy,2019,0,0.0,F
Gifted,2017,0,0.0,F
The Peanut Butter Falcon,2019,0,0.0,F
Victoria,2015,0,0.0,F
Mustang,2015,0,0.0,F
Guardians of the Galaxy Vol. 2,2017,0,0.0,F
Baby Driver,2017,0,0.0,F
Only the Brave,2017,0,0.0,F
Bridge of Spies,2015,0,0.0,F
Incredibles 2,2018,0,0.0,F
Moana,2016,0,0.0,F
Sicario,2015,0,0.0,F
Creed,2015,0,0.0,F
Leviafan,2014,0,0.0,F
Hell or High Water,2016,0,0.0,F
Philomena,2013,0,0.0,F
Dawn of the Planet of the Apes,2014,0,0.0,F
El cuerpo,2012,0,0.0,F
Serbuan maut,2011,0,0.0,F
End of Watch,2012,0,0.0,F
Kari-gurashi no Arietti,2010,0,0.0,F
A Star Is Born,2018,0,0.0,F
True Grit,2010,0,0.0,F
Hævnen,2010,0,0.0,F
Despicable Me,2010,0,0.0,F
50/50,2011,0,0.0,F
Kick-Ass,2010,0,0.0,F
Celda 211,2009,0,0.0,F
Moneyball,2011,0,0.0,F
La piel que habito,2011,0,0.0,F
Zombieland,2009,0,0.0,F
Die Welle,2008,0,0.0,F
Sherlock Holmes,2009,0,0.0,F
The Blind Side,2009,0,0.0,F
The Visitor,2007,0,0.0,F
Seven Pounds,2008,0,0.0,F
Eastern Promises,2007,0,0.0,F
Stardust,2007,0,0.0,F
The Secret of Kells,2009,0,0.0,F
Inside Man,2006,0,0.0,F
Gone Baby Gone,2007,0,0.0,F
La Vie En Rose,2007,0,0.0,F
Huo Yuan Jia,2006,0,0.0,F
The Illusionist,2006,0,0.0,F
Dead Man's Shoes,2004,0,0.0,F
Harry Potter and the Half-Blood Prince,2009,0,0.0,F
300,2006,0,0.0,F
Match Point,2005,0,0.0,F
Watchmen,2009,0,0.0,F
Lord of War,2005,0,0.0,F
Saw,2004,0,0.0,F
"Synecdoche, New York",2008,0,0.0,F
Mysterious Skin,2004,0,0.0,F
Jeux d'enfants,2003,0,0.0,F
Un long dimanche de fiançailles,2004,0,0.0,F
The Station Agent,2003,0,0.0,F
21 Grams,2003,0,0.0,F
Boksuneun naui geot,2002,0,0.0,F
Finding Neverland,2004,0,0.0,F
25th Hour,2002,0,0.0,F
The Butterfly Effect,2004,0,0.0,F
28 Days Later...,2002,0,0.0,F
Batoru rowaiaru,2000,0,0.0,F
The Royal Tenenbaums,2001,0,0.0,F
Y tu mamá también,2001,0,0.0,F
Harry Potter and the Sorcerer's Stone,2001,0,0.0,F
The Others,2001,0,0.0,F
Blow,2001,0,0.0,F
Enemy at the Gates,2001,0,0.0,F
Minority Report,2002,0,0.0,F
The Hurricane,1999,0,0.0,F
American Psycho,2000,0,0.0,F
Lola rennt,1998,0,0.0,F
The Thin Red Line,1998,0,0.0,F
Mulan,1998,0,0.0,F
Fear and Loathing in Las Vegas,1998,0,0.0,F
Funny Games,1997,0,0.0,F
Dark City,1998,0,0.0,F
Sleepers,1996,0,0.0,F
Lost Highway,1997,0,0.0,F
Sense and Sensibility,1995,0,0.0,F
Die Hard: With a Vengeance,1995,0,0.0,F
Dead Man,1995,0,0.0,F
The Bridges of Madison County,1995,0,0.0,F
Apollo 13,PG,0,0.0,F
Trois couleurs: Blanc,1994,0,0.0,F
Falling Down,1993,0,0.0,F
Dazed and Confused,1993,0,0.0,F
My Cousin Vinny,1992,0,0.0,F
Omohide poro poro,1991,0,0.0,F
Delicatessen,1991,0,0.0,F
Home Alone,1990,0,0.0,F
The Godfather: Part III,1990,0,0.0,F
When Harry Met Sally...,1989,0,0.0,F
The Little Mermaid,1989,0,0.0,F
The Naked Gun: From the Files of Police Squad!,1988,0,0.0,F
"Planes, Trains & Automobiles",1987,0,0.0,F
Lethal Weapon,1987,0,0.0,F
Blood Simple,1984,0,0.0,F
On Golden Pond,1981,0,0.0,F
Mad Max 2,1981,0,0.0,F
The Warriors,1979,0,0.0,F
The Muppet Movie,1979,0,0.0,F
Escape from Alcatraz,1979,0,0.0,F
Watership Down,1978,0,0.0,F
Midnight Express,1978,0,0.0,F
Close Encounters of the Third Kind,1977,0,0.0,F
The Long Goodbye,1973,0,0.0,F
Giù la testa,1971,0,0.0,F
Kelly's Heroes,1970,0,0.0,F
The Jungle Book,1967,0,0.0,F
Blowup,1966,0,0.0,F
A Hard Day's Night,1964,0,0.0,F
Breakfast at Tiffany's,1961,0,0.0,F
Giant,1956,0,0.0,F
From Here to Eternity,1953,0,0.0,F
Lifeboat,1944,0,0.0,F
The 39 Steps,1935,0,0.0,F
